,Date,Latitude,Longitude,Time difference,Time difference in months,Time difference in weeks,Time difference in hours
3,2019-12-03 09:48:08+00:00,51.517431,-0.082458,0 days 17:05:18,0.0,0.0,17.088333333333335
4,2019-12-04 02:53:26+00:00,51.516814,-0.08162,0 days 00:22:31,0.0,0.0,0.37527777777777777
5,2019-12-04 03:15:57+00:00,51.513114,-0.086272,0 days 03:20:22,0.0,0.0,3.3394444444444447
6,2019-12-04 06:36:19+00:00,51.51806,-0.110683,0 days 06:00:59,0.0,0.0,6.016388888888889
7,2019-12-04 12:37:18+00:00,51.51768,-0.078484,0 days 17:35:50,0.0,0.0,17.59722222222222
10,2019-12-05 06:13:08+00:00,51.516814,-0.08162,1 days 20:31:47,0.0328515111695138,0.14285714285714285,44.52972222222222
11,2019-12-07 02:44:55+00:00,51.517032,-0.089451,0 days 00:18:24,0.0,0.0,0.30666666666666664
12,2019-12-07 03:03:19+00:00,51.517032,-0.089451,0 days 04:43:57,0.0,0.0,4.7325
13,2019-12-07 07:47:16+00:00,51.513132,-0.09071,2 days 04:17:26,0.0657030223390276,0.2857142857142857,52.29055555555556
15,2019-12-09 12:04:42+00:00,51.515075,-0.077513,0 days 23:44:21,0.0,0.0,23.739166666666666
19,2019-12-10 11:49:03+00:00,51.513051,-0.104001,1 days 22:48:09,0.0328515111695138,0.14285714285714285,46.8025
20,2019-12-12 10:37:12+00:00,51.516814,-0.08162,0 days 18:53:33,0.0,0.0,18.8925
21,2019-12-13 05:30:45+00:00,51.514276,-0.087549,0 days 20:58:30,0.0,0.0,20.975
22,2019-12-14 02:29:15+00:00,51.514151,-0.074958,0 days 02:52:09,0.0,0.0,2.8691666666666666
23,2019-12-14 05:21:24+00:00,51.516814,-0.08162,0 days 23:04:25,0.0,0.0,23.073611111111113
24,2019-12-15 04:25:49+00:00,51.517058,-0.083296,1 days 02:27:08,0.0328515111695138,0.14285714285714285,26.452222222222222
27,2019-12-16 06:52:57+00:00,51.516814,-0.08162,0 days 19:02:59,0.0,0.0,19.049722222222222
28,2019-12-17 01:55:56+00:00,51.51104,-0.113726,0 days 02:44:45,0.0,0.0,2.745833333333333
29,2019-12-17 04:40:41+00:00,51.516508,-0.079398,0 days 00:08:27,0.0,0.0,0.14083333333333334
30,2019-12-17 04:49:08+00:00,51.516508,-0.079398,0 days 02:35:55,0.0,0.0,2.598611111111111
