,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
1,Person search,2019-12-01T02:17:49+00:00,51.513952,-0.085833,Offensive weapons,1
5,Person search,2019-12-02T03:14:04+00:00,51.511625,-0.081549,Stolen goods,1
6,Person search,2019-12-02T04:51:16+00:00,51.509775,-0.085014,Article for use in theft,1
10,Person search,2019-12-03T09:48:08+00:00,51.517431,-0.082458,Controlled drugs,1
12,Person search,2019-12-04T02:53:26+00:00,51.516814,-0.08162,Controlled drugs,1
13,Person search,2019-12-04T03:15:57+00:00,51.513114,-0.086272,Controlled drugs,1
14,Person search,2019-12-04T06:36:19+00:00,51.51806,-0.110683,Controlled drugs,1
16,Person search,2019-12-04T12:37:18+00:00,51.51768,-0.078484,Controlled drugs,1
25,Person search,2019-12-05T05:31:29+00:00,51.518262,-0.088203,Stolen goods,1
26,Person search,2019-12-05T05:44:29+00:00,51.518262,-0.088203,Article for use in theft,1
28,Person search,2019-12-05T06:13:08+00:00,51.516814,-0.08162,Controlled drugs,1
44,Person and Vehicle search,2019-12-07T02:44:55+00:00,51.517032,-0.089451,Controlled drugs,1
45,Person and Vehicle search,2019-12-07T03:03:19+00:00,51.517032,-0.089451,Controlled drugs,1
47,Person search,2019-12-07T07:47:16+00:00,51.513132,-0.09071,Controlled drugs,1
57,Person search,2019-12-09T06:13:06+00:00,51.513683,-0.111974,Evidence of offences under the Act,1
63,Person and Vehicle search,2019-12-09T12:04:42+00:00,51.515075,-0.077513,Controlled drugs,1
64,Person and Vehicle search,2019-12-10T02:04:32+00:00,51.512598,-0.084967,Article for use in theft,1
65,Person search,2019-12-10T03:38:26+00:00,51.512598,-0.084967,Article for use in theft,1
67,Person search,2019-12-10T04:08:04+00:00,51.512598,-0.084967,Article for use in theft,1
73,Person and Vehicle search,2019-12-10T11:49:03+00:00,51.513051,-0.104001,Controlled drugs,1
83,Person and Vehicle search,2019-12-12T10:37:12+00:00,51.516814,-0.08162,Controlled drugs,1
85,Person search,2019-12-13T05:30:45+00:00,51.514276,-0.087549,Controlled drugs,1
