,Type,Latitude,Longitude,Year,Month,Day,Hour,Minute,Second
3,Person search,51.517431,-0.082458,2019,12,3,9,48,8
4,Person search,51.516814,-0.08162,2019,12,4,2,53,26
5,Person search,51.513114,-0.086272,2019,12,4,3,15,57
6,Person search,51.51806,-0.110683,2019,12,4,6,36,19
7,Person search,51.51768,-0.078484,2019,12,4,12,37,18
10,Person search,51.516814,-0.08162,2019,12,5,6,13,8
11,Person and Vehicle search,51.517032,-0.089451,2019,12,7,2,44,55
12,Person and Vehicle search,51.517032,-0.089451,2019,12,7,3,3,19
13,Person search,51.513132,-0.09071,2019,12,7,7,47,16
15,Person and Vehicle search,51.515075,-0.077513,2019,12,9,12,4,42
19,Person and Vehicle search,51.513051,-0.104001,2019,12,10,11,49,3
20,Person and Vehicle search,51.516814,-0.08162,2019,12,12,10,37,12
21,Person search,51.514276,-0.087549,2019,12,13,5,30,45
22,Person search,51.514151,-0.074958,2019,12,14,2,29,15
23,Person and Vehicle search,51.516814,-0.08162,2019,12,14,5,21,24
24,Person and Vehicle search,51.517058,-0.083296,2019,12,15,4,25,49
27,Person search,51.516814,-0.08162,2019,12,16,6,52,57
28,Person search,51.51104,-0.113726,2019,12,17,1,55,56
29,Person search,51.516508,-0.079398,2019,12,17,4,40,41
30,Person search,51.516508,-0.079398,2019,12,17,4,49,8
31,Person search,51.517588,-0.076686,2019,12,17,7,25,3
33,Person and Vehicle search,51.525017,-0.035504,2019,12,18,7,12,50
34,Person search,51.512598,-0.084967,2019,12,18,7,36,9
35,Person and Vehicle search,51.525017,-0.035504,2019,12,18,8,6,25
38,Person and Vehicle search,51.516814,-0.08162,2019,12,18,10,0,47
39,Person search,51.512147,-0.092077,2019,12,18,10,3,45
40,Person and Vehicle search,51.508066,-0.08778,2019,12,19,3,24,37
41,Person search,51.509848,-0.104494,2019,12,19,8,46,46
42,Person search,51.517576,-0.079786,2019,12,19,9,16,54
43,Person search,51.516814,-0.08162,2019,12,19,9,16,54
44,Person and Vehicle search,51.516894,-0.076067,2019,12,19,10,33,28
46,Person and Vehicle search,51.515075,-0.077513,2019,12,20,7,28,52
47,Person search,51.51265,-0.101452,2019,12,20,9,47,24
48,Person and Vehicle search,51.51265,-0.101452,2019,12,20,11,43,11
49,Person and Vehicle search,51.508066,-0.08778,2019,12,20,12,28,27
53,Person search,51.514457,-0.073849,2019,12,21,2,14,43
54,Person and Vehicle search,51.512682,-0.084618,2019,12,21,4,45,28
55,Person and Vehicle search,51.512598,-0.084967,2019,12,21,4,45,28
56,Person and Vehicle search,51.517032,-0.089451,2019,12,21,4,46,12
57,Person and Vehicle search,51.51265,-0.101452,2019,12,21,10,30,23
58,Person and Vehicle search,51.512598,-0.084967,2019,12,22,7,40,58
59,Person and Vehicle search,51.512598,-0.084967,2019,12,22,7,40,58
60,Person and Vehicle search,51.51265,-0.101452,2019,12,23,3,34,22
61,Person search,51.51265,-0.101452,2019,12,23,3,36,4
62,Person search,51.513915,-0.07318,2019,12,23,8,30,17
63,Person search,51.513915,-0.07318,2019,12,23,9,33,7
64,Person and Vehicle search,51.516351,-0.082965,2019,12,23,11,31,26
65,Person search,51.515606,-0.094094,2019,12,25,8,9,58
67,Person search,51.528493,-0.091394,2019,12,27,10,1,28
68,Person and Vehicle search,51.528493,-0.091394,2019,12,27,10,2,23
