Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
1,51.517431,-0.082458,1,1,1,0,1,0,Liverpool Street,"Andaz Liverpool Street, 40, Liverpool Street, Bishopsgate, City of London, Greater London, England, EC2M 7QN, United Kingdom",EC2M 7QN,20.0
1,51.516814,-0.08162,1,2,17,4,0,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,18.0
1,51.513114,-0.086272,1,3,13,3,1,0,Birchin Lane,"Number 25, 25, Birchin Lane, Cornhill, City of London, Greater London, England, EC3V 9DJ, United Kingdom",EC3V 9DJ,1.0
1,51.51806,-0.110683,1,2,14,3,5,0,Holborn,"McDonald's, 6-7, Holborn, West Smithfield, City of London, Greater London, England, EC1N 2LL, United Kingdom",EC1N 2LL,4.0
1,51.51768,-0.078484,1,1,4,0,4,0,Middlesex Street,"123, Middlesex Street, Bishopsgate, City of London, Greater London, England, E1 7JJ, United Kingdom",E1 7JJ,7.0
1,51.516814,-0.08162,0,1,14,3,4,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,18.0
0,51.517032,-0.089451,1,1,14,3,1,0,Coleman Street,"80, Coleman Street, Barbican, City of London, Greater London, England, EC2R 5BJ, United Kingdom",EC2R 5BJ,45.0
0,51.517032,-0.089451,1,1,7,3,1,0,Coleman Street,"80, Coleman Street, Barbican, City of London, Greater London, England, EC2R 5BJ, United Kingdom",EC2R 5BJ,1.0
1,51.513132,-0.09071,1,1,11,3,0,0,Bucklersbury Passage,"Bucklersbury Passage, Cheap, City of London, Greater London, England, EC2R 8EJ, United Kingdom",EC2R 8EJ,5.0
0,51.515075,-0.077513,1,2,14,3,4,0,Stoney Lane,"City Bar & Kitchen, 9, Stoney Lane, Aldgate, City of London, Greater London, England, E1 7BH, United Kingdom",E1 7BH,53.0
0,51.513051,-0.104001,1,3,7,1,1,0,Apothecary Street,"RBS, Apothecary Street, Blackfriars, City of London, Greater London, England, EC4V 6BW, United Kingdom",EC4V 6BW,24.0
0,51.516814,-0.08162,1,1,13,3,1,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,47.0
1,51.514276,-0.087549,1,3,10,3,4,0,Bartholomew Lane,"Bank of England Museum, Bartholomew Lane, Cornhill, City of London, Greater London, England, EC2N 2AX, United Kingdom",EC2N 2AX,19.0
1,51.514151,-0.074958,1,2,14,3,1,0,Aldgate High Street,"Aldgate House, 33, Aldgate High Street, Aldgate, City of London, Greater London, England, EC3N 1DL, United Kingdom",EC3N 1DL,21.0
0,51.516814,-0.08162,1,1,14,3,0,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,3.0
0,51.517058,-0.083296,1,2,15,3,1,1,Old Broad Street,"New Broad Street House, 35, Old Broad Street, Bishopsgate, City of London, Greater London, England, EC2M 1JB, United Kingdom",EC2M 1JB,24.0
1,51.516814,-0.08162,1,2,14,3,4,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,27.0
1,51.51104,-0.113726,1,2,14,3,0,0,Victoria Embankment Gardens,"Temple Station, Victoria Embankment Gardens, St Clement Danes, Holborn, City of Westminster, Greater London, England, WC2R 2PH, United Kingdom",WC2R 2PH,20.0
1,51.516508,-0.079398,1,2,14,3,4,0,Devonshire Square,"14,15, Devonshire Square, Bishopsgate, City of London, Greater London, England, EC2M 4YT, United Kingdom",EC2M 4YT,3.0
1,51.516508,-0.079398,1,3,14,3,4,0,Devonshire Square,"14,15, Devonshire Square, Bishopsgate, City of London, Greater London, England, EC2M 4YT, United Kingdom",EC2M 4YT,1.0
