,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
1,2019-12-01 02:17:49,51.513952,-0.085833,Offensive weapons,1
5,2019-12-02 03:14:04,51.511625,-0.081549,Stolen goods,1
6,2019-12-02 04:51:16,51.509775,-0.085014,Article for use in theft,1
10,2019-12-03 09:48:08,51.517431,-0.082458,Controlled drugs,1
12,2019-12-04 02:53:26,51.516814,-0.08162,Controlled drugs,1
13,2019-12-04 03:15:57,51.513114,-0.086272,Controlled drugs,1
14,2019-12-04 06:36:19,51.51806,-0.110683,Controlled drugs,1
16,2019-12-04 12:37:18,51.51768,-0.078484,Controlled drugs,1
25,2019-12-05 05:31:29,51.518262,-0.088203,Stolen goods,1
26,2019-12-05 05:44:29,51.518262,-0.088203,Article for use in theft,1
28,2019-12-05 06:13:08,51.516814,-0.08162,Controlled drugs,1
44,2019-12-07 02:44:55,51.517032,-0.089451,Controlled drugs,1
45,2019-12-07 03:03:19,51.517032,-0.089451,Controlled drugs,1
47,2019-12-07 07:47:16,51.513132,-0.09071,Controlled drugs,1
57,2019-12-09 06:13:06,51.513683,-0.111974,Evidence of offences under the Act,1
63,2019-12-09 12:04:42,51.515075,-0.077513,Controlled drugs,1
64,2019-12-10 02:04:32,51.512598,-0.084967,Article for use in theft,1
65,2019-12-10 03:38:26,51.512598,-0.084967,Article for use in theft,1
67,2019-12-10 04:08:04,51.512598,-0.084967,Article for use in theft,1
73,2019-12-10 11:49:03,51.513051,-0.104001,Controlled drugs,1
83,2019-12-12 10:37:12,51.516814,-0.08162,Controlled drugs,1
85,2019-12-13 05:30:45,51.514276,-0.087549,Controlled drugs,1
98,2019-12-14 02:29:15,51.514151,-0.074958,Controlled drugs,1
102,2019-12-14 05:21:24,51.516814,-0.08162,Controlled drugs,1
105,2019-12-15 04:25:49,51.517058,-0.083296,Controlled drugs,1
110,2019-12-15 12:35:19,51.514887,-0.109647,Article for use in theft,1
118,2019-12-16 04:21:29,51.533305,-0.096441,Offensive weapons,1
120,2019-12-16 06:52:57,51.516814,-0.08162,Controlled drugs,1
124,2019-12-17 01:55:56,51.51104,-0.113726,Controlled drugs,1
129,2019-12-17 04:40:41,51.516508,-0.079398,Controlled drugs,1
130,2019-12-17 04:49:08,51.516508,-0.079398,Controlled drugs,1
131,2019-12-17 07:25:03,51.517588,-0.076686,Controlled drugs,1
133,2019-12-17 09:58:10,51.517184,-0.076747,Offensive weapons,1
135,2019-12-18 07:12:50,51.525017,-0.035504,Controlled drugs,1
136,2019-12-18 07:36:09,51.512598,-0.084967,Controlled drugs,1
137,2019-12-18 08:06:25,51.525017,-0.035504,Controlled drugs,1
138,2019-12-18 09:11:32,51.512545,-0.096643,Stolen goods,1
139,2019-12-18 09:34:36,51.512952,-0.096814,Stolen goods,1
142,2019-12-18 10:00:47,51.516814,-0.08162,Controlled drugs,1
143,2019-12-18 10:03:45,51.512147,-0.092077,Controlled drugs,1
147,2019-12-19 03:24:37,51.508066,-0.08778,Controlled drugs,1
153,2019-12-19 08:46:46,51.509848,-0.104494,Controlled drugs,1
154,2019-12-19 09:16:54,51.517576,-0.079786,Controlled drugs,1
155,2019-12-19 09:16:54,51.516814,-0.08162,Controlled drugs,1
158,2019-12-19 10:33:28,51.516894,-0.076067,Controlled drugs,1
161,2019-12-20 02:27:09,51.506255,-0.074901,Stolen goods,1
164,2019-12-20 07:28:52,51.515075,-0.077513,Controlled drugs,1
170,2019-12-20 09:47:24,51.51265,-0.101452,Controlled drugs,1
173,2019-12-20 11:43:11,51.51265,-0.101452,Controlled drugs,1
175,2019-12-20 12:28:27,51.508066,-0.08778,Controlled drugs,1
179,2019-12-21 01:32:38,51.511794,-0.088042,Article for use in theft,1
180,2019-12-21 01:46:27,51.511794,-0.088042,Article for use in theft,1
182,2019-12-21 02:12:50,51.506255,-0.074901,Stolen goods,1
183,2019-12-21 02:14:43,51.514457,-0.073849,Controlled drugs,1
189,2019-12-21 04:45:28,51.512682,-0.084618,Controlled drugs,1
190,2019-12-21 04:45:28,51.512598,-0.084967,Controlled drugs,1
191,2019-12-21 04:46:12,51.517032,-0.089451,Controlled drugs,1
204,2019-12-21 10:30:23,51.51265,-0.101452,Controlled drugs,1
210,2019-12-22 07:40:58,51.512598,-0.084967,Controlled drugs,1
211,2019-12-22 07:40:58,51.512598,-0.084967,Controlled drugs,1
213,2019-12-23 03:34:22,51.51265,-0.101452,Controlled drugs,1
214,2019-12-23 03:36:04,51.51265,-0.101452,Controlled drugs,1
218,2019-12-23 08:30:17,51.513915,-0.07318,Controlled drugs,1
220,2019-12-23 09:33:07,51.513915,-0.07318,Controlled drugs,1
226,2019-12-23 11:31:26,51.516351,-0.082965,Controlled drugs,1
233,2019-12-25 08:09:58,51.515606,-0.094094,Controlled drugs,1
242,2019-12-26 08:33:31,51.516814,-0.08162,Firearms,1
250,2019-12-27 10:01:28,51.528493,-0.091394,Controlled drugs,1
251,2019-12-27 10:02:23,51.528493,-0.091394,Controlled drugs,1
