,Date,Latitude,Longitude,Outcome linked to object of search,Object of search_Article for use in theft,Object of search_Articles for use in criminal damage,Object of search_Controlled drugs,Object of search_Crossbows,Object of search_Evidence of offences under the Act,Object of search_Firearms,Object of search_Offensive weapons,Object of search_Stolen goods
0,2019-12-01 02:17:49,51.513952,-0.085833,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2019-12-02 03:14:04,51.511625,-0.081549,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2019-12-02 04:51:16,51.509775,-0.085014,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-12-03 09:48:08,51.517431,-0.082458,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2019-12-04 02:53:26,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2019-12-04 03:15:57,51.513114,-0.086272,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2019-12-04 06:36:19,51.51806,-0.110683,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2019-12-04 12:37:18,51.51768,-0.078484,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2019-12-05 05:31:29,51.518262,-0.088203,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,2019-12-05 05:44:29,51.518262,-0.088203,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-12-05 06:13:08,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2019-12-07 02:44:55,51.517032,-0.089451,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2019-12-07 03:03:19,51.517032,-0.089451,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2019-12-07 07:47:16,51.513132,-0.09071,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2019-12-09 06:13:06,51.513683,-0.111974,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,2019-12-09 12:04:42,51.515075,-0.077513,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2019-12-10 02:04:32,51.512598,-0.084967,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-12-10 03:38:26,51.512598,-0.084967,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-12-10 04:08:04,51.512598,-0.084967,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2019-12-10 11:49:03,51.513051,-0.104001,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2019-12-12 10:37:12,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2019-12-13 05:30:45,51.514276,-0.087549,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2019-12-14 02:29:15,51.514151,-0.074958,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2019-12-14 05:21:24,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2019-12-15 04:25:49,51.517058,-0.083296,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2019-12-15 12:35:19,51.514887,-0.109647,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2019-12-16 04:21:29,51.533305,-0.096441,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,2019-12-16 06:52:57,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,2019-12-17 01:55:56,51.51104,-0.113726,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2019-12-17 04:40:41,51.516508,-0.079398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2019-12-17 04:49:08,51.516508,-0.079398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2019-12-17 07:25:03,51.517588,-0.076686,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,2019-12-17 09:58:10,51.517184,-0.076747,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,2019-12-18 07:12:50,51.525017,-0.035504,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2019-12-18 07:36:09,51.512598,-0.084967,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2019-12-18 08:06:25,51.525017,-0.035504,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,2019-12-18 09:11:32,51.512545,-0.096643,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,2019-12-18 09:34:36,51.512952,-0.096814,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2019-12-18 10:00:47,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,2019-12-18 10:03:45,51.512147,-0.092077,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2019-12-19 03:24:37,51.508066,-0.08778,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2019-12-19 08:46:46,51.509848,-0.104494,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,2019-12-19 09:16:54,51.517576,-0.079786,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2019-12-19 09:16:54,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2019-12-19 10:33:28,51.516894,-0.076067,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2019-12-20 02:27:09,51.506255,-0.074901,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,2019-12-20 07:28:52,51.515075,-0.077513,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,2019-12-20 09:47:24,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2019-12-20 11:43:11,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49,2019-12-20 12:28:27,51.508066,-0.08778,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2019-12-21 01:32:38,51.511794,-0.088042,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2019-12-21 01:46:27,51.511794,-0.088042,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2019-12-21 02:12:50,51.506255,-0.074901,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,2019-12-21 02:14:43,51.514457,-0.073849,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,2019-12-21 04:45:28,51.512682,-0.084618,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,2019-12-21 04:45:28,51.512598,-0.084967,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,2019-12-21 04:46:12,51.517032,-0.089451,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,2019-12-21 10:30:23,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,2019-12-22 07:40:58,51.512598,-0.084967,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,2019-12-22 07:40:58,51.512598,-0.084967,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,2019-12-23 03:34:22,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,2019-12-23 03:36:04,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,2019-12-23 08:30:17,51.513915,-0.07318,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,2019-12-23 09:33:07,51.513915,-0.07318,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,2019-12-23 11:31:26,51.516351,-0.082965,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,2019-12-25 08:09:58,51.515606,-0.094094,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,2019-12-26 08:33:31,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,2019-12-27 10:01:28,51.528493,-0.091394,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,2019-12-27 10:02:23,51.528493,-0.091394,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,2019-12-28 11:18:50,51.512856,-0.073254,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,2019-12-29 01:40:03,51.5112,-0.085257,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,2019-12-29 03:10:01,51.512856,-0.073254,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,2019-12-29 03:27:48,51.516814,-0.08162,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2019-12-29 04:44:55,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,2019-12-29 04:45:12,51.513268,-0.100202,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,2019-12-29 11:59:04,51.518262,-0.088203,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,2019-12-30 05:51:51,51.518226,-0.111497,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,2019-12-30 06:15:02,51.512598,-0.084967,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2019-12-30 06:28:01,51.512598,-0.084967,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,2020-01-01 07:59:46,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80,2020-01-01 08:12:36,51.517577,-0.098062,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,2020-01-01 08:40:07,51.513885,-0.102741,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,2020-01-02 02:07:16,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,2020-01-02 07:41:52,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,2020-01-02 08:30:34,51.517244,-0.080376,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2020-01-03 01:29:09,51.513389,-0.080034,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,2020-01-03 04:05:21,51.516966,-0.1059,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,2020-01-03 04:36:47,51.513268,-0.100202,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,2020-01-04 02:34:26,51.508066,-0.08778,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,2020-01-04 06:33:03,51.519312,-0.103597,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2020-01-04 09:17:55,51.519912,-0.102332,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,2020-01-05 08:01:21,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,2020-01-06 03:22:13,51.514858,0.004717,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,2020-01-06 05:29:36,51.513454,-0.09172,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,2020-01-06 06:59:58,51.513721,-0.102647,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,2020-01-06 09:13:01,51.518433,-0.078856,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020-01-06 12:31:44,51.520846,-0.100593,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-01-07 04:16:57,51.517184,-0.076747,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,2020-01-07 09:22:17,51.517231,-0.079613,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,2020-01-09 06:44:58,51.51768,-0.078484,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,2020-01-09 10:44:20,51.512147,-0.092077,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-01-11 05:58:57,51.516351,-0.082965,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,2020-01-11 07:32:57,51.516351,-0.082965,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,2020-01-11 11:09:39,51.516351,-0.082965,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,2020-01-11 12:07:55,51.514461,-0.092268,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,2020-01-12 08:56:11,51.520846,-0.100593,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,2020-01-12 10:35:05,51.509848,-0.104494,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,2020-01-13 02:13:49,51.513377,-0.096363,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,2020-01-13 03:47:58,51.513377,-0.096363,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,2020-01-14 01:40:39,51.515739,-0.100632,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2020-01-14 02:28:53,51.515739,-0.100632,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,2020-01-14 06:53:01,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
