,Type,Gender,Age range,Officer-defined ethnicity,Object of search,Outcome linked to object of search
Person search,4802.0,,,,,
Person and Vehicle search,1445.0,,,,,
Male,,5651.0,,,,
Female,,590.0,,,,
18-24,,,2052.0,,,
25-34,,,1920.0,,,
over 34,,,1333.0,,,
10-17,,,448.0,,,
under 10,,,3.0,,,
White,,,,2954.0,,
Black,,,,1318.0,,
Asian,,,,1142.0,,
Other,,,,470.0,,
Controlled drugs,,,,,3642.0,
Article for use in theft,,,,,1140.0,
Stolen goods,,,,,833.0,
Offensive weapons,,,,,384.0,
Evidence of offences under the Act,,,,,105.0,
Articles for use in criminal damage,,,,,100.0,
Firearms,,,,,40.0,
Fireworks,,,,,2.0,
Crossbows,,,,,1.0,
False,,,,,,4151.0
True,,,,,,2096.0
